Sample_0151,5.0
Sample_0067,3.0
Sample_0158,5.0
Sample_0203,4.0
Sample_0103,4.0
Sample_0036,6.0
Sample_0165,6.0
Sample_0202,5.0
Sample_0035,8.0
Sample_0133,3.0
Sample_0066,1.0
Sample_0115,1.0
Sample_0039,4.0
Sample_0186,5.0
Sample_0028,4.0
Sample_0056,5.0
Sample_0092,1.0
Sample_0182,5.0
Sample_0012,5.0
Sample_0205,4.0
Sample_0091,4.0
Sample_0011,4.0
Sample_0070,3.0
Sample_0166,6.0
Sample_0101,3.0
Sample_0187,6.0
Sample_0013,4.0
Sample_0087,3.0
Sample_0071,5.0
Sample_0146,6.0
Sample_0037,5.0
Sample_0065,2.0
Sample_0084,3.0
Sample_0027,6.0
Sample_0026,5.0
Sample_0152,5.0
Sample_0131,5.0
Sample_0016,6.0
Sample_0170,5.0
Sample_0129,4.0
Sample_0201,5.0
